,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
0,0.00046375531911490247,6.786663206559549e-05,0.7374628601236171,2,1,0.0014138881680332393,0.001989213402487645,0.0,0.6590585195416699,1,4,2,17,0,0.07536023935617166,0.0,2,3,0,4,4,1,7.069440840166197e-06,1.4138881680332393e-06,2,1.4138881680332393e-06,2.8277763360664785e-06,2,0.10124853171286026,0.009204411973896388,0.018408823947792776,0.0736352957911711,10,1,0.0028334318887386113,1
1,4.529591110895056e-05,8.343983625332999e-06,0.06811630899168272,1,1,0.00039733255358728563,0.00023784723990288506,0.9933313839682141,0.09301078280414052,1,4,6,15,2,0.0,0.0,3,0,1,4,5,5,1.5893302143491424e-06,1.986662767936428e-07,0,0.0,0.0,0,0.0010072380233437691,0.00015495969589904139,0.00015495969589904139,0.0006973186315456862,8,12,0.0003987232175248411,1
2,2.645236044028096e-05,5.7247645728966255e-06,0.13575548783627117,2,0,0.00039481134985493974,0.0002789618554670048,0.9870283746373493,0.0850092006053662,0,6,11,2,3,0.0069289391899541915,0.0,0,2,1,4,1,1,1.381839724492289e-06,5.922170247824096e-07,1,3.9481134985493973e-07,5.922170247824096e-07,1,0.006840106636236831,0.0015200236969415179,0.0007600118484707589,0.004560071090824553,4,30,0.000396193189579432,0
3,4.241139279568934e-05,6.792449627434621e-06,0.03774133517257337,0,1,0.00033133900621632297,0.00023454494233034854,0.994017018648969,0.10074644122162583,0,6,1,2,4,0.008101238701989097,-0.010337776993949277,2,1,0,4,2,0,8.283475155408074e-07,1.6566950310816147e-07,0,1.6566950310816147e-07,3.3133900621632295e-07,1,0.010503446497057438,0.0010503446497057438,0.0010503446497057438,0.00840275719764595,3,34,0.0003336583792598372,1
4,3.77313193602606e-05,7.281482683559063e-06,0.060809482261072634,0,2,0.00016548824280816053,0.0002621184826662736,0.9929294568489633,0.1010646628124005,1,0,11,2,4,0.010922224025338595,-0.007612459169175385,3,0,1,2,1,0,3.3097648561632106e-06,1.6548824280816055e-07,1,0.0,1.6548824280816055e-07,1,0.0010756735782530434,0.0002151347156506087,0.00010756735782530435,0.0007529715047771304,0,31,0.00033246587980159453,0
5,0.0005154260027776879,7.85219301106634e-05,0.21058776302550583,2,1,0.002013382823350344,0.0027202815326286493,0.0,0.963315092128912,0,6,12,3,4,0.0,0.0,0,2,0,1,4,0,3.825427364365653e-05,6.040148470051031e-06,1,0.0,4.026765646700687e-06,1,0.12905783897675702,0.012905783897675703,0.012905783897675703,0.10324627118140563,10,3,0.004032805795170739,1
6,0.00022176859769525641,5.5037462201742464e-05,0.6701264272750865,1,1,0.0016187488882865432,0.002158358830196862,0.0,0.7150272839383787,1,6,9,2,0,0.0,-0.12464366439806382,0,1,1,4,1,6,0.0,4.856246664859629e-06,0,0.0,0.0,0,0.12731460006373663,0.03472216365374635,0.011574054551248783,0.08101838185874148,9,29,0.0032569227632325247,0
7,0.0002221167273616569,4.980799340837155e-05,0.5775398375138762,0,0,0.0013461619840100417,0.0015306265606789377,0.0,0.8119981779449371,1,0,12,0,4,0.0,0.0,0,1,2,4,5,1,3.096172563223096e-05,4.038485952030125e-06,0,2.6923239680200833e-06,2.6923239680200833e-06,2,0.06944849675507805,0.01262699941001419,0.01262699941001419,0.04419449793504967,1,5,0.002712516397780234,0
8,3.487911058584805e-05,4.263002404936984e-05,0.6273912312102182,0,0,0.0006459094552934825,0.0018640817697878843,0.0,0.7773313603431367,0,6,7,9,3,0.0,0.0,2,1,2,4,6,0,2.7128197122326263e-05,1.2918189105869649e-06,1,1.2918189105869649e-06,1.2918189105869649e-06,2,0.03578338382325893,0.0035783383823258927,0.0035783383823258927,0.02862670705860714,12,9,0.0025991396481009734,0
9,0.0002414643034572594,4.783726766606082e-05,0.7250193507816909,0,0,0.0005694912817388193,0.0014985365791162597,0.0,0.6845091579464817,1,6,8,4,5,0.0,-0.044762014744671196,2,2,2,3,0,2,1.594575588868694e-05,1.1389825634776387e-06,1,2.2779651269552774e-06,1.1389825634776387e-06,0,0.04817896243510411,0.005353218048344902,0.005353218048344902,0.03747252633841431,10,1,0.0022734091967013667,0
10,5.781344573762064e-05,1.0332615833957731e-05,0.13373603079756577,2,0,0.00012300733135663965,0.0003082858941392645,0.9840586508531173,0.1137283963230829,0,5,3,7,2,0.009446963048189925,0.0,2,1,2,4,1,3,5.412322579692145e-06,2.460146627132793e-07,2,4.920293254265586e-07,4.920293254265586e-07,0,0.021405735802682433,0.0019459759820620393,0.0038919519641240786,0.015567807856496314,5,14,0.0004925213547519852,0
11,0.0006680216568750132,9.116179210151187e-05,0.32073707372528315,2,0,0.002988911216443012,0.0016994351394451679,0.0,0.9199285886524384,0,2,3,16,2,0.0,-0.07621723601929681,0,1,0,1,4,6,3.138356777265163e-05,4.483366824664518e-06,2,1.494455608221506e-06,2.988911216443012e-06,2,0.17174283849681546,0.026421975153356227,0.026421975153356227,0.11889888819010301,1,4,0.002997877950092341,0
12,1.906735532434863e-05,7.309152874333642e-06,0.2677828915429184,2,2,0.00015889462770290528,0.00038622834945000584,0.9533677662174316,0.13735487197149943,1,4,10,15,5,0.0,0.0,2,2,2,0,4,3,2.860103298652295e-06,3.177892554058105e-07,2,3.177892554058105e-07,0.0,1,0.017961448715536413,0.0014967873929613675,0.002993574785922735,0.013471086536652308,10,3,0.0006355785108116211,0
13,0.00015457781275616983,4.343508788189896e-05,0.800748840149333,2,0,0.001277502584761734,0.0011965216959136879,0.0,0.5935941310147093,0,4,1,3,5,0.06745213647541956,-0.04190208478018488,1,0,1,2,4,6,6.387512923808671e-06,1.277502584761734e-06,1,1.277502584761734e-06,1.277502584761734e-06,1,0.009300218817065425,0.0014308028949331422,0.0014308028949331422,0.00643861302719914,12,18,0.0025677801953710856,0
14,0.00022322540077757808,4.712536238637759e-05,0.7987513297679071,2,1,0.0024802822308619787,0.0016135848095207234,0.0,0.5911566676092211,0,1,6,2,1,0.05121782806729986,-0.0688278319064199,2,2,2,4,4,6,1.4881693385171873e-05,1.2401411154309894e-06,1,0.0,2.4802822308619788e-06,2,0.05729451953291171,0.005208592684810155,0.01041718536962031,0.04166874147848124,4,27,0.0024840026542082717,1
15,0.0004690881342154285,5.752032089745212e-05,0.8854896379481322,1,0,0.0019834593412914525,0.0011220429493685748,0.0,0.4549391270043259,0,4,13,12,2,0.05523934265496695,0.0,0,3,0,3,6,2,1.1900756047748715e-05,3.966918682582905e-06,2,0.0,0.0,1,0.06259797681115824,0.01043299613519304,0.01043299613519304,0.04173198454077216,0,23,0.001982467611620807,1
16,1.3806640452889991e-05,5.128180739644854e-06,0.11024365716367751,2,2,0.0001972377207555713,0.00023657481178306246,0.9861886037778566,0.12226450729284656,1,1,6,10,3,0.012544319040054335,0.0,0,2,0,3,1,5,0.0,5.917131622667139e-07,0,1.972377207555713e-07,3.944754415111426e-07,2,0.01027805762857282,0.0011420064031747578,0.0011420064031747578,0.007994044822223306,9,26,0.0003968422941602095,0
17,2.323363112770709e-05,5.144589749706569e-06,0.04568146765977351,1,2,8.297725402752531e-05,0.00011760200258813107,0.9957270483303038,0.07809985103578737,1,2,6,15,4,0.008878566180945208,0.0,2,3,2,4,6,3,1.4935905724954557e-06,1.6595450805505062e-07,1,0.0,3.3190901611010125e-07,2,0.012924537087327343,0.002349915834059517,0.0011749579170297585,0.009399663336238068,11,21,0.00033439833373092703,0
18,0.00015371959548264418,3.554765645536147e-05,0.8850424924862674,2,2,0.0004803737358832631,0.0013202783906509955,0.0,0.4536025075824888,0,4,2,19,2,0.04371400996537694,-0.03631625443277469,2,3,2,3,1,4,1.8254201963563998e-05,9.607474717665262e-07,2,9.607474717665262e-07,0.0,1,0.07006731311593276,0.006369755737812069,0.012739511475624138,0.05095804590249655,0,33,0.0019359061556095502,0
19,0.0003851608891951092,7.663915652351662e-05,0.28292032417958296,1,2,0.0039302131550521344,0.002899966729652543,0.0,0.9386724588868766,0,2,5,4,3,0.11201107491898583,-0.053647409566461635,0,3,0,4,5,1,1.5720852620208538e-05,5.895319732578202e-06,0,3.9302131550521345e-06,0.0,1,0.11869243728257446,0.011869243728257445,0.011869243728257445,0.09495394982605956,9,29,0.003957724647137499,0
20,0.00011351752360437793,1.530018796406833e-05,0.04526634642337183,1,1,0.0002467772252269085,0.00029316147248055827,0.9871089009076341,0.1527168519455462,1,3,7,3,3,0.0,0.0,0,2,1,4,1,1,4.935544504538171e-06,7.403316756807256e-07,1,2.467772252269085e-07,0.0,0,0.011638013941701006,0.0,0.0012931126601890008,0.010344901281512007,11,19,0.0004962689999313131,0
21,0.0003488021446425254,6.590270935642185e-05,0.694190207463757,0,2,0.003214766310069358,0.0014067013681285994,0.0,0.7112332910565898,0,0,6,16,3,0.07506479334011952,0.0,0,3,2,4,4,0,2.4110747325520187e-05,4.822149465104037e-06,0,1.607383155034679e-06,3.214766310069358e-06,0,0.06082337858651226,0.0,0.0076029223233140325,0.053220456263198226,0,31,0.0032083367774492196,0
22,0.000679772452128268,0.00010104725639744525,0.524519772953546,0,0,0.0036744456871798275,0.0017861113040812421,0.0,0.8155799647264345,1,2,9,13,2,0.13356610072898673,-0.1252985979328321,0,2,0,0,4,2,3.674445687179827e-05,5.511668530769741e-06,1,0.0,0.0,2,0.13139817777355062,0.032849544443387654,0.010949848147795885,0.08759878518236708,11,15,0.0036744456871798275,1
23,0.0008519163954389208,0.0001134513359543357,0.23803946759626157,1,0,0.004125503125612207,0.0026171985553727563,0.0,0.9347317451824603,1,4,8,5,3,0.0,-0.06394529844698922,2,1,2,0,6,3,3.0941273442091555e-05,2.0627515628061037e-06,0,4.125503125612207e-06,4.125503125612207e-06,0,0.20247969340504715,0.01687330778375393,0.03374661556750786,0.15185977005378537,4,30,0.0041481933928030745,1
24,0.0002746951563938954,4.636205171204985e-05,0.8540840347419679,1,0,0.0011590512928012463,0.0010238015974442687,0.0,0.5038778456733642,1,1,2,11,0,0.0,-0.062009244164866674,2,2,1,3,5,5,6.954307756807478e-06,1.1590512928012463e-06,1,1.1590512928012463e-06,3.477153878403739e-06,1,0.09026691468336105,0.008206083153032824,0.016412166306065647,0.06564866522426259,5,13,0.0023238978420664987,0
